SEQENCE ID                     TM SP PREDICTION
O51460                          1  0 i12-32o
O51462                          0  Y n4-13c17/18o
O51465                          1  0 i7-24o
O51474                          0  0 o
O51475                          0  0 o
O51476                          1  0 i7-27o
O51478                          0  0 o
O51483                          0  0 o
O51485                          0  Y n5-14c19/20o
O51487                          0  Y n3-14c22/23o
O51488                          0  0 o
O51489                          7  0 i21-39o45-70i82-103o109-128i140-158o164-183i204-223o
O51493                          0  Y n6-17c21/22o
O51495                          1  0 o245-265i
O51496                          1  0 o14-36i
O51499                          0  0 o
O51500                          0  0 i
O51501                          0  0 o
O51504                          0  0 o
O51505                          0  0 o
O51506                          0  0 o
O51510                          1  Y n4-12c20/21o72-92i
O51511                          0  Y n5-15c23/24o
O51512                          1  0 i7-25o
O51513                          0  0 o
O51514                          0  0 o
O51516                          0  0 o
O51517                          0  0 o
O51521                          7  0 i21-43o55-75i105-125o145-167i179-201o221-241i253-271o
O51523                          4  0 o12-32i53-74o94-114i135-153o
O51524                          0  0 o
O51525                          0  0 i
O51527                          5  0 i7-29o56-78i85-101o107-127i162-186o
O51529                          0  Y n4-12c17/18o
O51530                         12  0 i12-35o59-80i92-114o134-153i165-186o192-214i240-262o282-303i315-341o353-373i380-398o404-421i
O51531                         12  0 i16-34o54-73i93-117o129-152i164-187o193-215i241-266o278-299i320-343o355-375i387-409o415-436i
O51533                          1  0 i223-241o
O51537                         10  0 i12-35o41-61i176-198o210-234i246-267o273-291i303-322o334-355i367-387o393-409i
O51538                          7  0 i12-33o45-62i83-110o138-156i168-186o192-210i215-236o
O51539                          2  0 i297-316o336-355i
O51541                          5  0 o29-50i62-81o87-106i127-146o174-191i
O51542                          2  0 o12-33i306-327o
O51543                          2  0 o17-38i324-350o
O51546                          2  0 i9-31o436-458i
O51548                          3  0 i7-23o29-47i59-79o
O51559                          0  0 i
O51561                          6  0 i122-140o146-174i195-213o284-303i315-344o350-368i
O51562                          0  0 i
O51564                          0  0 o
O51566                          0  0 o
O51569                          0  Y n6-13c21/22o
O51570                          0  Y n6-14c22/23o
O51573                          0  Y n4-15c19/20o
O51574                         10  0 o297-317i337-359o379-396i416-435o455-472i479-494o500-519i531-549o555-573i585-614o
O51576                          1  Y n7-15c21/22o75-93i
O51582                         10  0 i12-34o40-61i81-97o117-150i198-220o244-276i297-316o336-359i380-402o414-437i
O51583                         12  0 i20-39o45-66i86-102o122-149i161-179o208-230i242-261o267-290i297-318o342-363i383-408o420-443i
O51584                          0  Y n4-11c15/16o
O51585                          6  0 i7-29o58-84i104-122o128-152i172-197o229-248i
O51586                          7  0 o6-29i36-53o59-77i89-109o138-159i180-210o240-261i
O51590                         10  0 i15-35o55-80i92-109o121-149i170-193o213-233i282-300o320-342i349-375o387-408i
O51591                          0  Y n6-17c21/22o
O51594                          0  0 o
O51598                          0  0 o
O51599                          0  0 o
O51600                          0  0 o
O51605                          1  0 i98-117o
O51606                          0  Y n3-13c18/19o
O51607                          0  Y n8-17c21/22o
O51608                          1  0 o6-26i
O51609                          1  0 o246-268i
O51610                          0  0 o
O51611                          1  0 o27-48i
O51613                          0  0 o
O51614                          0  0 o
O51615                          0  0 o
O51616                          0  Y n3-13c19/20o
O51617                          6  0 i7-31o37-55i75-92o98-118i139-162o248-268i
O51618                          0  0 o
O51620                          0  0 o
O51621                         10  0 i20-42o62-84i91-110o116-140i152-172o217-237i265-286o292-311i318-335o347-365i
O51622                          9  0 o6-27i34-56o62-84i96-115o146-162i191-211o217-236i243-264o270-291i
O51626                          0  0 o
O51630                          0  0 o
O51632                          0  Y n4-11c15/16o
O51633                          0  0 i
O51636                          0  0 o
O51644                          0  0 i
O51649                          0  0 o
O51650                          0  0 o
O51651                          3  0 i12-37o49-75i82-103o
O51655                          0  0 o
O51656                          3  0 i5-26o77-95i107-126o
O51659                          4  0 i21-42o62-81i93-115o127-145i
O51660                          0  0 o
O51664                          0  Y n2-10c15/16o
O51667                          0  0 o
O51668                          0  0 o
O51670                          0  Y n3-11c16/17o
O51671                         11  0 o6-25i37-55o75-97i109-134o189-207i228-248o268-287i299-320o340-362i374-393o399-418i
O51673                          0  0 o
O51675                          0  0 i
O51682                          1  0 o50-70i
O51684                          0  0 o
O51685                          0  Y n4-15c19/20o
O51686                          0  0 o
O51687                          6  0 i12-29o90-110i122-140o146-165i193-212o252-274i
O51688                          7  0 i12-31o127-149i161-185o191-211i232-251o257-284i296-316o
O51689                          2  0 i7-26o115-134i
O51690                          0  0 o
O51692                          0  Y n17-28c33/34o
O51695                          0  0 o
O51697                          0  0 o
O51699                          0  0 o
O51700                          8  0 i9-32o52-70i82-102o117-136i157-188o200-220i232-252o258-276i
O51701                          0  0 o
O51705                          0  0 o
O51706                          0  0 o
O51707                          4  0 i7-26o32-51i72-91o106-127i
O51711                          1  0 i12-35o
O51714                          0  0 o
O51716                          0  0 o
O51717                          0  Y n8-18c22/23o
O51720                          0  0 o
O51724                          1  0 o6-23i
O51730                          0  Y n7-14c18/19o
O51731                          0  0 o
O51732                          0  Y n13-21c26/27o
O51735                          0  Y n7-18c22/23o
O51736                          0  Y n3-14c18/19o
O51738                          0  0 o
O51746                          0  Y n12-23c28/29o
O51747                          6  0 i20-44o50-79i91-120o346-365i372-393o405-427i
O51748                          6  0 i12-39o59-77i98-116o274-294i301-323o329-350i
O51751                          0  Y n4-13c17/18o
O51754                         12  0 i12-33o39-64i92-114o126-145i152-171o207-230i242-266o286-312i333-354o360-383i390-413o419-437i
O51756                          0  0 o
O51758                          0  0 o
O51760                          0  0 i
O51763                          0  Y n5-16c21/22o
O51764                          0  Y n5-12c20/21o
O51765                          0  0 o
O51766                          0  Y n4-15c22/23o
O51770                          0  0 o
O51771                          0  0 o
O51772                          0  Y n8-16c20/21o
O51774                          0  0 o
O51775                          0  0 o
O51778                          0  Y n13-24c29/30o
O51779                          0  0 o
O51780                          0  Y n7-19c24/25o
O51783                         13  0 i7-25o82-110i119-138o144-168i175-193o199-221i268-290o296-313i325-344o364-385i397-416o422-439i451-472o
O51784                          0  Y n6-17c21/22o
O51791                          0  0 o
O54655                          0  0 o
O87927                          0  0 o
P0CL68                          0  Y n9-20c28/29o
P33762                          0  0 o
P70837                          0  Y n10-17c21/22o
P70838                          0  0 o
P70841                          2  0 o6-24i36-57o
P70842                          0  0 o
P70843                          0  0 o
P70844                          0  0 o
P70845                          2  0 i35-53o59-75i
P94252                          0  0 o
Q44728                          0  0 o
Q44754                          0  0 o
Q44756                          2  0 i9-33o39-57i
Q44769                          0  0 o
Q44845                          0  Y n6-15c20/21o
Q44849                          0  Y n4-15c19/20o
Q44911                          0  0 o
Q44926                          0  0 o
Q57105                          0  Y n3-13c17/18o
Q7DFA7                          0  Y n4-15c20/21o
Q7DFC1                          0  0 o
Q7DFH7                          0  0 i
Q9R2M2                          0  0 i
Q9R2P8                          0  0 o
Q9R2P9                          0  0 o
Q9R2Q0                          0  0 o
Q9R2Q2                          0  0 o
Q9R2S3                          0  0 o
Q9R2T1                          0  0 o
Q9R2V1                          0  0 o
Q9R2W7                          0  0 o
Q9R2Y2                          0  0 o
Q9R314                          0  0 i
Q9R331                          0  0 o
Q9R338                          0  0 o
Q9R344                          0  0 o
Q9R373                          0  0 i
Q9R382                          0  0 i
Q9R384                          0  0 i
Q9R397                          0  Y n5-16c20/21o
Q9R3A6                          0  0 o
Q9R3E0                          0  0 o
Q9R3E6                          0  0 i
Q9R3H3                          0  0 o
Q9R3K2                          0  0 o
Q9R3M9                          0  0 o
Q9R3Q5                          0  0 o
Q9R3U6                          0  0 o
Q9R3U9                          0  0 i
Q9R3W0                          0  0 o
Q9R3Z2                          0  0 o
Q9RZW0                          0  0 o
Q9RZW8                          0  0 o
Q9RZX1                          3  0 o15-36i57-81o101-119i
Q9RZX8                          0  0 o
Q9RZX9                          0  0 o
Q9RZY0                          1  0 i64-83o
Q9RZY1                          0  0 i
Q9RZY2                          0  0 o
Q9RZY4                          0  0 o
Q9RZY5                          2  0 i12-31o51-73i
Q9RZY6                          0  0 o
Q9RZY8                          0  0 o
Q9RZZ1                          1  0 o208-229i
Q9RZZ3                          0  0 o
Q9RZZ4                          0  0 o
Q9RZZ5                          0  0 o
Q9RZZ6                          0  0 o
Q9RZZ7                          0  0 o
Q9RZZ8                          0  0 o
Q9RZZ9                          0  0 o
Q9S000                          0  0 o
Q9S001                          0  0 i
Q9S002                          0  0 o
Q9S003                          0  0 o
Q9S004                          0  0 o
Q9S005                          0  0 o
Q9S006                          0  0 o
Q9S008                          0  0 o
Q9S009                          0  0 o
Q9S010                          1  0 i203-223o
Q9S011                          3  0 o29-47i54-73o93-116i
Q9S012                          0  Y n5-13c18/19o
Q9S013                          0  Y n3-13c17/18o
Q9S018                          0  0 o
Q9S019                          0  0 o
Q9S020                          0  0 o
Q9S021                          0  0 i
Q9S022                          2  0 i52-71o77-96i
Q9S023                          0  0 o
Q9S024                          0  0 i
Q9S025                          0  0 i
Q9S026                          0  0 o
Q9S027                          0  0 o
Q9S029                          0  0 o
Q9S030                          0  0 o
Q9S031                          1  0 i64-83o
Q9S032                          0  0 o
Q9S033                          0  0 o
Q9S035                          0  Y n5-16c24/25o
Q9S036                          0  Y n8-19c24/25o
Q9S037                          0  0 o
Q9S038                          0  0 o
Q9S039                          1  0 i154-173o
Q9S040                          0  0 o
Q9S041                          0  0 o
Q9S042                          0  0 o
Q9S044                          1  0 i161-182o
Q9S046                          0  0 o
Q9S047                          0  0 o
Q9S048                          0  0 o
Q9S049                          0  0 o
Q9S050                          0  0 o
Q9S052                          0  0 o
Q9S053                          0  0 o
Q9S054                          0  0 o
Q9S055                          0  0 o
Q9S056                          0  0 o
Q9S057                          0  0 o
Q9S058                          1  0 i64-83o
Q9S059                          0  0 o
Q9S061                          0  0 o
Q9S062                          1  0 o165-184i
Q9S065                          0  0 o
Q9S066                          0  0 o
Q9S067                          0  0 o
Q9S068                          0  0 o
Q9S070                          1  0 i161-182o
Q9S071                          0  0 o
Q9S072                          1  0 i64-83o
Q9S073                          0  0 i
Q9S076                          0  0 o
Q9S078                          1  0 i165-184o
Q9S079                          0  0 o
Q9S080                          0  0 o
Q9S081                          0  0 o
Q9S082                          0  0 o
Q9S084                          1  0 i172-193o
Q9S085                          0  0 o
Q9S086                          0  0 o
Q9S087                          0  0 o
Q9S088                          0  0 o
Q9S089                          0  0 o
Q9S090                          0  0 i
Q9S091                          0  0 o
Q9S092                          0  0 o
Q9S093                          0  0 o
Q9S094                          0  0 i
Q9S095                          0  0 i
Q9S096                          0  0 o
Q9S097                          0  0 o
Q9S098                          0  0 i
Q9S0A0                          0  0 o
Q9S0A1                          0  0 o
Q9S0A2                          0  0 o
Q9S0A3                          1  0 i64-83o
Q9S0A4                          0  0 i
Q9S0A6                          0  Y n6-14c19/20o
Q9S0A8                          0  0 o
Q9S0A9                          0  0 o
Q9S0B0                          0  0 o
Q9S0B1                          1  0 i197-216o
Q9S0B2                          0  0 o
Q9S0B3                          0  0 o
Q9S0B4                          0  0 o
Q9S0B5                          0  0 o
Q9S0B6                          0  0 o
Q9S0B8                          0  Y n9-17c22/23o
Q9S0C0                          0  0 o
Q9S0C2                          0  0 o
Q9S0C3                          0  0 o
Q9S0C4                          0  0 o
Q9S0C5                          0  0 o
Q9S0C6                          0  0 o
Q9S0C7                          0  0 i
Q9S0C8                          0  0 o
Q9S0C9                          0  0 o
Q9S0D0                          0  0 i
Q9S0D1                          0  0 o
Q9S0D2                          0  0 o
Q9S0D3                          0  0 o
Q9S0D4                          0  0 o
Q9S0D5                          0  0 o
Q9S0D6                          0  0 o
Q9S0D7                          0  0 i
Q9S0D8                          0  0 o
Q9S0D9                          0  Y n8-16c20/21o
Q9S0E0                          0  0 o
Q9S0E2                          0  0 o
Q9S0E3                          0  0 o
Q9S0E4                          0  0 o
Q9S0E5                          0  0 o
Q9S0E7                          0  0 o
Q9S0E9                          1  0 i143-164o
Q9S0F0                          0  Y n5-16c20/21o
Q9S0F1                          0  0 o
Q9S0F2                          0  0 o
Q9S0F3                          0  0 o
Q9S0F4                          0  0 o
Q9S0F5                          0  0 o
Q9S0F6                          0  0 o
Q9S0F7                          0  0 i
Q9S0F8                          0  0 o
Q9S0F9                          0  0 o
Q9S0G0                          0  0 o
Q9S0G2                          0  0 o
Q9S0G3                          0  0 o
Q9S0G4                          0  0 o
Q9S0G5                          0  0 o
Q9S0G6                          0  0 o
Q9S0G7                          0  0 o
Q9S0G8                          1  0 i64-83o
Q9S0G9                          0  0 o
Q9S0H1                          0  0 o
Q9S0H2                          1  0 i169-188o
Q9S0H3                          0  0 o
Q9S0H4                          0  0 o
Q9S0H6                          0  0 o
Q9S0I0                          1  0 o6-24i
Q9S0I3                          0  0 o
Q9S0I4                          0  0 o
Q9S0I5                          0  0 o
Q9S0I6                          0  0 o
Q9S0I7                          0  0 o
Q9S0I9                          0  0 o
Q9S0J0                          1  0 i64-83o
Q9S0J1                          0  0 o
Q9S0J2                          0  0 o
Q9S0J3                          0  0 o
Q9S0J4                          0  0 o
Q9S0J6                          0  0 o
Q9S0J7                          0  0 o
